user	session	val_id	offX_L	acc_L	medX_L	ipd	xm	medY_L	medaccX_R	rmsiX_R	medY_R	avgX	avgY	medacc_R	medX	medY	offX_R	offY_R	sd_L	rmsi_R	offY_L	offY	offX	accX_R	sdX_R	sd_R	set_no	accY	accX	sdY_L	medaccX	medaccY	sdX_L	ym	medX_R	avgX_L	medaccY_R	avgY_L	medaccX_L	rmsiX	rmsiY	medaccY_L	accY_R	avgX_R	acc	avgY_R	rmsiY_L	rmsiX_L	d	medacc	rmsi_L	rmsi	sdX	sdY	accX_L	medacc_L	sdY_R	accY_L	acc_R	y	x	rmsiY_R	sd	repeated_L	repeated_R	repeated_C	repeated	repeated_any	outlier_reason	hmd	setup	vision
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-1.04	7.59	4.38	56.02	0.09	-4.88	0.92	0.28	-6.49	5.25	-6.41	1.02	5.27	-6.44	-1.04	-0.78	0.53	0.06	-0.78	-0.78	-1.04	1.04	0.52	0.27	67	0.78	1.04	0.26	1.04	0.78	0.52	-0.04	5.44	4.38	0.81	-4.92	0.92	0.28	0.09	0.81	0.78	5.31	1.37	-6.49	0.09	0.28	0.50	1.36	0.49	0.23	0.52	0.26	1.04	7.56	0.26	0.78	1.09	-5.00	10.00	0.09	0.41	0.03	0.01	0.01	0.03	0.03	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-1.62	5.81	1.76	56.08	0.04	-2.41	1.39	0.31	-0.89	0.89	-1.20	0.79	0.89	-1.24	-1.62	-0.13	0.31	0.07	-0.13	-0.13	-1.62	1.62	0.65	0.21	50	0.24	1.62	0.24	1.62	0.24	0.65	0.00	0.59	1.78	0.22	-2.59	1.39	0.31	0.11	0.22	0.24	0.67	1.65	-0.90	0.12	0.31	0.50	1.42	0.27	0.32	0.65	0.14	1.62	5.71	0.24	0.24	0.74	0.00	5.00	0.12	0.64	0.03	0.03	0.03	0.03	0.03	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-0.38	1.20	-5.77	56.09	-0.09	2.76	0.39	0.13	4.32	-11.13	4.00	1.22	-11.11	3.97	-0.38	0.47	0.34	0.06	0.47	0.47	-0.38	0.38	0.23	0.19	71	0.47	0.38	0.24	0.38	0.47	0.23	0.04	-12.96	-5.65	0.45	2.84	0.39	0.11	0.09	0.45	0.47	-12.98	0.63	4.38	0.09	0.13	0.50	0.61	0.18	0.13	0.22	0.24	0.38	1.15	0.24	0.47	1.24	5.00	-10.00	0.09	0.30	0.01	0.01	0.01	0.01	0.01	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	0.67	2.03	-8.03	56.66	-1.06	-8.97	0.64	0.12	-11.46	-9.37	-10.81	1.48	-9.43	-10.77	0.67	-0.76	0.31	0.07	-0.76	-0.76	0.67	0.67	0.26	0.24	15	0.76	0.67	0.41	0.67	0.76	0.26	-1.07	-9.92	-7.94	0.72	-9.05	0.64	0.12	0.16	0.72	0.76	-9.89	1.12	-11.43	0.16	0.12	6.00	1.10	0.21	0.11	0.26	0.41	0.67	1.98	0.41	0.76	1.46	-10.00	-10.00	0.16	0.28	0.03	0.04	0.02	0.06	0.06	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-1.05	2.55	7.76	56.17	1.06	-9.63	1.11	0.06	-10.83	8.55	-10.85	1.40	8.49	-10.83	-1.05	-0.79	0.60	0.06	-0.79	-0.79	-1.05	1.05	0.21	0.10	14	0.79	1.05	0.22	1.05	0.79	0.21	-1.07	8.49	7.68	0.76	-9.75	1.11	0.06	0.07	0.76	0.79	8.55	1.39	-10.86	0.07	0.06	6.00	1.40	0.84	0.06	0.21	0.22	1.05	2.46	0.22	0.79	1.39	-10.00	10.00	0.07	0.10	0.02	0.02	0.02	0.02	0.02	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-0.99	7.77	1.09	55.99	0.04	3.28	0.77	0.29	9.21	1.05	8.83	1.12	1.04	8.63	-0.99	0.69	0.87	0.14	0.69	0.69	-0.99	1.00	0.68	0.62	73	1.05	1.00	1.18	1.00	1.05	0.68	0.09	1.07	1.17	0.74	3.46	0.77	0.27	0.24	0.74	1.05	1.09	1.71	9.54	0.29	0.29	0.50	1.60	0.48	0.30	0.67	0.87	1.00	7.94	1.18	1.05	1.45	10.00	5.00	0.29	0.63	0.04	0.03	0.03	0.04	0.04	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	0.18	0.64	-6.11	56.17	-0.09	-1.20	0.15	0.14	-1.45	-9.91	-1.41	0.56	-10.04	-1.41	0.18	-0.35	0.34	0.11	-0.35	-0.35	0.18	0.23	0.29	0.19	60	0.35	0.23	0.19	0.23	0.35	0.29	0.00	-12.22	-6.04	0.35	-1.24	0.15	0.12	0.14	0.35	0.35	-12.20	0.45	-1.50	0.15	0.14	0.50	0.42	0.23	0.13	0.25	0.19	0.23	0.55	0.19	0.35	0.55	0.00	-10.00	0.15	0.27	0.03	0.04	0.03	0.04	0.04	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-0.34	5.28	4.79	56.26	1.06	-5.01	0.29	0.19	-5.83	9.30	-5.83	0.87	9.34	-5.83	-0.34	-0.76	1.44	0.04	-0.76	-0.76	-0.34	0.34	0.23	0.11	18	0.76	0.34	0.13	0.34	0.76	0.23	-0.53	9.35	4.88	0.76	-4.99	0.29	0.19	0.05	0.76	0.76	9.35	0.87	-5.84	0.05	0.19	6.00	0.89	0.70	0.14	0.23	0.13	0.34	5.36	0.13	0.76	0.84	-5.00	10.00	0.05	0.15	0.02	0.00	0.00	0.02	0.02	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-0.72	2.43	-3.26	56.33	-0.52	7.89	0.73	0.10	9.90	-5.95	9.76	0.94	-5.96	9.72	-0.72	-0.06	0.49	0.04	-0.06	-0.06	-0.72	0.72	0.16	0.16	23	0.16	0.72	0.19	0.72	0.16	0.16	1.06	-6.15	-3.23	0.16	8.03	0.73	0.10	0.08	0.16	0.16	-6.17	0.76	9.89	0.09	0.10	6.00	0.76	0.26	0.09	0.16	0.12	0.72	2.34	0.19	0.16	0.94	10.00	-5.00	0.09	0.15	0.02	0.01	0.01	0.02	0.02	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	0.24	4.97	7.42	56.02	0.09	2.50	0.20	0.12	3.71	6.21	3.75	0.34	6.17	3.71	0.24	0.16	1.35	0.09	0.16	0.16	0.24	0.24	0.16	0.18	66	0.24	0.24	0.26	0.24	0.24	0.16	0.04	6.17	7.11	0.21	2.43	0.20	0.11	0.07	0.21	0.24	6.21	0.39	3.75	0.09	0.12	0.50	0.33	1.06	0.09	0.16	0.20	0.24	4.60	0.26	0.24	0.39	5.00	10.00	0.09	0.18	0.02	0.02	0.02	0.02	0.02	valid	2.00	3.00	glasses
