user	session	val_id	offX_L	acc_L	medX_L	ipd	xm	medY_L	medaccX_R	rmsiX_R	medY_R	avgX	avgY	medacc_R	medX	medY	offX_R	offY_R	sd_L	rmsi_R	offY_L	offY	offX	accX_R	sdX_R	sd_R	set_no	accY	accX	sdY_L	medaccX	medaccY	sdX_L	ym	medX_R	avgX_L	medaccY_R	avgY_L	medaccX_L	rmsiX	rmsiY	medaccY_L	accY_R	avgX_R	acc	avgY_R	rmsiY_L	rmsiX_L	d	medacc	rmsi_L	rmsi	sdX	sdY	accX_L	medacc_L	sdY_R	accY_L	acc_R	y	x	rmsiY_R	sd	repeated_L	repeated_R	repeated_C	repeated	repeated_any	outlier_reason	hmd	setup	vision
14	10	04c50d932991f2a4fa1bfbba2f416b827429d02f	0.11	0.47	-4.30	57.37	-0.52	9.99	0.16	0.11	8.28	-4.86	9.13	1.65	-4.85	9.11	0.11	-0.78	0.21	0.10	-0.78	-0.78	0.11	0.19	0.20	0.23	23	0.78	0.19	0.15	0.19	0.78	0.20	1.06	-5.45	-4.31	0.79	9.98	0.16	0.06	0.08	0.79	0.78	-5.40	0.81	8.31	0.08	0.11	6.00	0.81	0.09	0.08	0.13	0.15	0.19	0.44	0.15	0.78	1.62	10.00	-5.00	0.08	0.13	0.01	0.01	0.01	0.01	0.01	valid	2.00	2.00	uncorrected
14	10	04c50d932991f2a4fa1bfbba2f416b827429d02f	-1.23	1.73	10.44	56.83	0.09	9.12	1.17	0.07	7.48	7.78	8.42	1.72	7.79	8.31	-1.23	-0.53	0.50	0.18	-0.53	-0.53	-1.23	1.23	0.33	0.35	62	0.55	1.23	0.26	1.23	0.55	0.33	0.09	5.26	10.42	0.63	9.13	1.17	0.07	0.11	0.63	0.55	5.31	1.37	7.73	0.14	0.07	0.50	1.36	0.12	0.08	0.33	0.22	1.23	1.67	0.26	0.55	1.60	10.00	10.00	0.14	0.30	0.01	0.04	0.01	0.04	0.04	valid	2.00	2.00	uncorrected
14	10	04c50d932991f2a4fa1bfbba2f416b827429d02f	0.05	0.34	-1.62	56.79	-0.04	9.11	0.10	0.03	8.19	-4.68	8.67	0.73	-4.70	8.65	0.05	-0.24	0.20	0.06	-0.24	-0.24	0.05	0.13	0.16	0.17	72	0.24	0.13	0.12	0.13	0.24	0.16	0.09	-7.76	-1.55	0.25	9.10	0.10	0.03	0.04	0.25	0.24	-7.76	0.30	8.21	0.04	0.03	0.50	0.32	0.04	0.03	0.10	0.11	0.13	0.30	0.12	0.24	0.71	10.00	-5.00	0.04	0.07	0.02	0.02	0.01	0.03	0.03	valid	2.00	2.00	uncorrected
14	10	04c50d932991f2a4fa1bfbba2f416b827429d02f	-0.38	1.22	2.66	56.81	0.00	5.40	0.41	0.05	5.49	-0.47	5.47	1.20	-0.49	5.47	-0.38	1.12	0.11	0.07	1.12	1.12	-0.38	0.38	0.12	0.10	53	1.12	0.38	0.06	0.38	1.12	0.12	0.04	-3.65	2.69	1.12	5.40	0.41	0.05	0.06	1.12	1.12	-3.69	1.19	5.51	0.06	0.05	0.50	1.20	0.08	0.06	0.12	0.06	0.38	1.21	0.06	1.12	1.20	5.00	0.00	0.06	0.06	0.00	0.00	0.00	0.00	0.00	valid	2.00	2.00	uncorrected
14	10	04c50d932991f2a4fa1bfbba2f416b827429d02f	-0.71	3.39	15.66	57.23	1.61	-11.22	0.68	0.76	-10.51	14.25	-9.63	0.99	15.52	-10.90	-0.71	0.32	4.72	0.96	0.32	0.32	-0.71	2.03	4.34	5.43	36	2.24	2.03	4.04	2.03	2.24	4.34	-1.10	14.50	14.94	1.01	-9.76	0.68	0.67	0.62	1.01	2.24	13.44	3.10	-9.47	0.64	0.76	6.00	1.07	0.81	0.83	3.90	3.38	2.03	1.75	4.04	2.24	3.03	-10.00	15.00	0.64	5.10	0.01	0.01	0.01	0.01	0.01	valid	2.00	2.00	uncorrected
14	10	04c50d932991f2a4fa1bfbba2f416b827429d02f	0.10	1.04	12.45	56.70	0.09	0.58	0.13	0.05	0.64	9.10	0.61	0.82	9.11	0.58	0.10	0.88	0.32	0.07	0.88	0.88	0.10	0.16	0.15	0.15	58	0.88	0.16	0.13	0.16	0.88	0.15	0.00	6.08	12.47	0.85	0.54	0.13	0.05	0.05	0.85	0.88	6.04	0.91	0.67	0.05	0.05	0.50	0.87	0.06	0.05	0.09	0.13	0.16	1.05	0.13	0.88	0.84	0.00	10.00	0.05	0.14	0.03	0.03	0.03	0.03	0.03	valid	2.00	2.00	uncorrected
14	10	04c50d932991f2a4fa1bfbba2f416b827429d02f	-0.02	0.55	-9.22	57.53	-1.06	-14.87	0.07	0.06	-15.88	-9.97	-15.40	1.07	-9.97	-15.41	-0.02	-0.46	0.30	0.09	-0.46	-0.46	-0.02	0.08	0.10	0.60	40	0.53	0.08	0.44	0.08	0.53	0.10	-1.63	-10.65	-9.29	0.48	-14.75	0.07	0.05	0.07	0.48	0.53	-10.62	0.55	-16.06	0.07	0.06	6.00	0.51	0.07	0.07	0.06	0.36	0.08	0.52	0.44	0.53	1.26	-15.00	-10.00	0.07	0.35	0.00	0.00	0.00	0.00	0.00	valid	2.00	2.00	uncorrected
14	10	04c50d932991f2a4fa1bfbba2f416b827429d02f	-0.16	0.52	-2.07	56.91	-0.04	-10.12	0.26	0.07	-9.62	-4.85	-9.83	0.36	-4.93	-9.86	-0.16	-0.24	0.12	0.03	-0.24	-0.24	-0.16	0.28	0.26	0.17	69	0.26	0.28	0.13	0.28	0.26	0.26	-0.09	-7.83	-1.89	0.26	-10.06	0.26	0.03	0.03	0.26	0.26	-7.92	0.40	-9.58	0.03	0.07	0.50	0.40	0.06	0.04	0.12	0.10	0.28	0.51	0.13	0.26	0.37	-10.00	-5.00	0.03	0.10	0.01	0.00	0.00	0.01	0.01	valid	2.00	2.00	uncorrected
14	10	04c50d932991f2a4fa1bfbba2f416b827429d02f	-0.37	0.75	2.57	56.80	0.00	9.45	0.35	0.03	8.72	-0.52	9.08	0.49	-0.50	9.09	-0.37	0.15	0.16	0.04	0.15	0.15	-0.37	0.37	0.14	0.11	61	0.16	0.37	0.11	0.37	0.16	0.14	0.09	-3.53	2.55	0.16	9.44	0.35	0.03	0.05	0.16	0.16	-3.53	0.43	8.70	0.05	0.03	0.50	0.42	0.07	0.04	0.14	0.10	0.37	0.74	0.11	0.16	0.50	10.00	0.00	0.05	0.11	0.02	0.02	0.02	0.02	0.02	valid	2.00	2.00	uncorrected
14	10	04c50d932991f2a4fa1bfbba2f416b827429d02f	0.11	0.53	-5.86	56.85	-0.09	9.14	0.18	0.05	8.21	-9.06	8.69	0.66	-9.02	8.73	0.11	-0.17	0.15	0.07	-0.17	-0.17	0.11	0.17	0.15	0.12	65	0.17	0.17	0.11	0.17	0.17	0.15	0.09	-12.45	-5.95	0.14	9.10	0.18	0.05	0.04	0.14	0.17	-12.46	0.26	8.22	0.04	0.05	0.50	0.26	0.04	0.05	0.09	0.11	0.17	0.51	0.11	0.17	0.67	10.00	-10.00	0.04	0.11	0.01	0.02	0.01	0.02	0.02	valid	2.00	2.00	uncorrected
