user	session	val_id	offX_L	acc_L	medX_L	ipd	xm	medY_L	medaccX_R	rmsiX_R	medY_R	avgX	avgY	medacc_R	medX	medY	offX_R	offY_R	sd_L	rmsi_R	offY_L	offY	offX	accX_R	sdX_R	sd_R	set_no	accY	accX	sdY_L	medaccX	medaccY	sdX_L	ym	medX_R	avgX_L	medaccY_R	avgY_L	medaccX_L	rmsiX	rmsiY	medaccY_L	accY_R	avgX_R	acc	avgY_R	rmsiY_L	rmsiX_L	d	medacc	rmsi_L	rmsi	sdX	sdY	accX_L	medacc_L	sdY_R	accY_L	acc_R	y	x	rmsiY_R	sd	repeated_L	repeated_R	repeated_C	repeated	repeated_any	outlier_reason	hmd	setup	vision
12	10	95971f9be80266651d0dbcfe03687ae43b089d2f	-0.48	2.84	-5.20	61.84	-0.52	17.80	0.36	0.16	17.77	-5.45	17.56	2.98	-5.33	17.74	-0.48	2.70	0.69	0.44	2.70	2.70	-0.48	0.51	0.36	0.71	46	2.70	0.51	0.65	0.51	2.70	0.36	1.61	-5.77	-5.18	2.87	17.63	0.36	0.16	0.29	2.87	2.70	-5.74	2.76	17.51	0.29	0.16	6.00	2.93	0.28	0.29	0.32	0.65	0.51	3.03	0.65	2.70	2.72	15.00	-5.00	0.29	0.67	0.03	0.03	0.03	0.03	0.03	valid	2.00	3.00	contacts
12	10	95971f9be80266651d0dbcfe03687ae43b089d2f	-2.32	4.00	-7.77	61.68	-0.09	12.27	2.31	0.08	12.83	-11.42	12.57	4.81	-11.42	12.59	-2.32	3.69	0.23	0.09	3.69	3.69	-2.32	2.32	0.10	0.32	65	3.69	2.32	0.18	2.32	3.69	0.10	0.09	-14.88	-7.82	3.72	12.28	2.31	0.08	0.09	3.72	3.69	-14.83	4.37	12.79	0.09	0.08	0.50	4.39	0.13	0.08	0.10	0.18	2.32	3.95	0.18	3.69	4.73	10.00	-10.00	0.09	0.13	0.03	0.00	0.00	0.03	0.03	valid	2.00	3.00	contacts
12	10	95971f9be80266651d0dbcfe03687ae43b089d2f	-0.85	2.10	-10.55	62.24	-1.06	6.79	0.86	0.10	6.60	-10.79	6.69	1.80	-10.82	6.70	-0.85	1.74	0.29	0.10	1.74	1.74	-0.85	0.85	0.15	0.30	22	1.74	0.85	0.31	0.85	1.74	0.15	0.53	-10.93	-10.60	1.76	6.77	0.86	0.10	0.06	1.76	1.74	-10.93	1.96	6.62	0.06	0.10	6.00	2.01	0.09	0.07	0.15	0.31	0.85	2.20	0.31	1.74	1.86	5.00	-10.00	0.06	0.28	0.01	0.00	0.00	0.01	0.01	valid	2.00	3.00	contacts
12	10	95971f9be80266651d0dbcfe03687ae43b089d2f	-2.39	2.40	-16.71	62.30	-1.61	1.44	2.63	0.19	1.71	-17.23	1.48	3.57	-17.45	1.54	-2.39	1.47	0.53	0.44	1.47	1.47	-2.39	2.39	0.44	0.54	27	1.47	2.39	0.20	2.39	1.47	0.44	0.00	-18.30	-16.54	1.53	1.37	2.63	0.19	0.14	1.53	1.47	-18.14	2.84	1.65	0.14	0.19	6.00	3.08	0.14	0.21	0.44	0.20	2.39	2.60	0.20	1.47	3.43	0.00	-15.00	0.14	0.47	0.00	0.00	0.00	0.00	0.00	valid	2.00	3.00	contacts
12	10	95971f9be80266651d0dbcfe03687ae43b089d2f	-0.45	0.58	-5.16	62.04	-0.09	-9.74	0.40	0.16	-10.42	-8.83	-10.06	2.55	-9.12	-10.06	-0.45	-0.41	0.17	0.23	-0.41	-0.41	-0.45	0.50	0.38	0.81	64	0.41	0.50	0.21	0.50	0.41	0.38	-0.09	-14.47	-5.11	0.40	-9.77	0.40	0.15	0.07	0.40	0.41	-14.27	0.66	-10.38	0.07	0.16	0.50	0.68	0.10	0.15	0.32	0.21	0.50	0.52	0.21	0.41	2.30	-10.00	-10.00	0.07	0.34	0.02	0.01	0.01	0.02	0.02	valid	2.00	3.00	contacts
12	10	95971f9be80266651d0dbcfe03687ae43b089d2f	0.52	0.69	-4.12	62.39	-0.52	0.37	0.59	0.11	-0.41	-4.42	-0.12	0.76	-4.35	-0.02	0.52	-0.08	0.16	0.08	-0.08	-0.08	0.52	0.53	0.20	0.12	3	0.16	0.53	0.26	0.53	0.16	0.20	0.00	-4.61	-4.12	0.08	0.26	0.59	0.07	0.06	0.08	0.16	-4.69	0.61	-0.48	0.07	0.11	6.00	0.60	0.12	0.06	0.18	0.23	0.53	0.68	0.26	0.16	0.78	0.00	-5.00	0.07	0.12	0.01	0.02	0.00	0.03	0.03	valid	2.00	3.00	contacts
12	10	95971f9be80266651d0dbcfe03687ae43b089d2f	0.43	1.23	-8.40	62.48	-1.06	-9.91	0.48	0.21	-11.54	-9.60	-11.14	1.65	-9.56	-11.16	0.43	-1.15	0.54	0.17	-1.15	-1.15	0.43	0.52	0.39	0.19	15	1.15	0.52	0.32	0.52	1.15	0.39	-1.07	-9.90	-8.43	1.17	-9.96	0.48	0.21	0.20	1.17	1.15	-9.94	1.33	-11.54	0.20	0.21	6.00	1.32	0.48	0.18	0.26	0.32	0.52	1.22	0.32	1.15	1.66	-10.00	-10.00	0.20	0.26	0.01	0.01	0.00	0.02	0.02	valid	2.00	3.00	contacts
12	10	95971f9be80266651d0dbcfe03687ae43b089d2f	0.04	0.42	-1.22	62.10	-0.04	-9.37	0.11	0.08	-9.61	-4.11	-9.49	0.34	-4.17	-9.45	0.04	0.16	0.19	0.11	0.16	0.16	0.04	0.11	0.13	0.19	69	0.18	0.11	0.13	0.11	0.18	0.13	-0.09	-7.27	-1.23	0.20	-9.38	0.11	0.06	0.08	0.20	0.18	-7.26	0.23	-9.58	0.10	0.08	0.50	0.23	0.08	0.08	0.07	0.10	0.11	0.48	0.13	0.18	0.36	-10.00	-5.00	0.10	0.09	0.01	0.02	0.01	0.02	0.02	valid	2.00	3.00	contacts
12	10	95971f9be80266651d0dbcfe03687ae43b089d2f	-0.08	0.41	4.82	62.13	0.52	4.81	0.14	0.08	4.30	4.90	4.54	0.65	4.87	4.51	-0.08	-0.38	0.20	0.08	-0.38	-0.38	-0.08	0.15	0.14	0.16	5	0.38	0.15	0.09	0.15	0.38	0.14	0.53	4.88	4.92	0.41	4.81	0.14	0.05	0.04	0.41	0.38	4.88	0.41	4.28	0.04	0.08	6.00	0.44	0.07	0.04	0.06	0.09	0.15	0.50	0.09	0.38	0.69	5.00	5.00	0.04	0.07	0.03	0.01	0.01	0.03	0.03	valid	2.00	3.00	contacts
12	10	95971f9be80266651d0dbcfe03687ae43b089d2f	-0.61	0.81	9.51	62.27	1.06	-10.13	0.59	0.14	-10.89	9.35	-10.44	1.00	9.37	-10.45	-0.61	-0.45	0.23	0.22	-0.45	-0.45	-0.61	0.61	0.17	0.27	14	0.45	0.61	0.17	0.61	0.45	0.17	-1.07	9.22	9.48	0.45	-10.08	0.59	0.14	0.16	0.45	0.45	9.19	0.79	-10.89	0.16	0.14	6.00	0.78	0.16	0.14	0.17	0.17	0.61	0.75	0.17	0.45	1.06	-10.00	10.00	0.16	0.20	0.00	0.03	0.00	0.03	0.03	valid	2.00	3.00	contacts
12	10	95971f9be80266651d0dbcfe03687ae43b089d2f	-0.17	0.72	7.62	61.95	0.04	-0.12	0.18	0.06	-0.68	4.60	-0.42	0.28	4.58	-0.39	-0.17	0.06	0.20	0.06	0.06	0.06	-0.17	0.18	0.12	0.08	50	0.20	0.18	0.21	0.18	0.20	0.12	0.00	1.72	7.63	0.18	-0.14	0.18	0.06	0.06	0.18	0.20	1.73	0.29	-0.67	0.06	0.06	0.50	0.31	0.09	0.06	0.11	0.09	0.18	0.68	0.21	0.20	0.31	0.00	5.00	0.06	0.08	0.00	0.00	0.00	0.00	0.00	valid	2.00	3.00	contacts
12	10	95971f9be80266651d0dbcfe03687ae43b089d2f	0.16	2.72	0.69	61.95	0.00	17.58	0.16	0.15	17.81	0.22	17.62	2.96	0.22	17.70	0.16	2.75	0.20	0.19	2.75	2.75	0.16	0.18	0.14	0.45	28	2.75	0.18	0.29	0.18	2.75	0.14	1.61	-0.32	0.73	2.84	17.54	0.16	0.08	0.14	2.84	2.75	-0.37	2.76	17.70	0.14	0.15	6.00	2.84	0.13	0.13	0.12	0.29	0.18	2.73	0.29	2.75	2.84	15.00	0.00	0.14	0.28	0.00	0.01	0.00	0.01	0.01	valid	2.00	3.00	contacts
