user	session	val_id	offX_L	acc_L	medX_L	ipd	xm	medY_L	medaccX_R	rmsiX_R	medY_R	avgX	avgY	medacc_R	medX	medY	offX_R	offY_R	sd_L	rmsi_R	offY_L	offY	offX	accX_R	sdX_R	sd_R	set_no	accY	accX	sdY_L	medaccX	medaccY	sdX_L	ym	medX_R	avgX_L	medaccY_R	avgY_L	medaccX_L	rmsiX	rmsiY	medaccY_L	accY_R	avgX_R	acc	avgY_R	rmsiY_L	rmsiX_L	d	medacc	rmsi_L	rmsi	sdX	sdY	accX_L	medacc_L	sdY_R	accY_L	acc_R	y	x	rmsiY_R	sd	repeated_L	repeated_R	repeated_C	repeated	repeated_any	outlier_reason	hmd	setup	vision
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-1.02	3.26	10.12	69.01	0.09	-4.02	1.01	0.23	-3.95	8.00	-3.90	1.09	8.03	-3.98	-1.02	0.76	0.38	0.23	0.76	0.76	-1.02	1.02	0.39	0.53	67	0.76	1.02	0.35	1.02	0.76	0.39	-0.04	6.58	10.03	0.67	-4.00	1.01	0.23	0.18	0.67	0.76	6.54	1.33	-3.82	0.18	0.23	0.50	1.23	0.09	0.22	0.39	0.35	1.02	3.25	0.35	0.76	1.04	-5.00	10.00	0.18	0.33	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.63	2.63	10.06	69.08	1.06	12.35	0.61	0.10	13.33	9.32	12.80	2.09	9.37	12.91	-0.63	-2.14	0.36	0.18	-2.14	-2.14	-0.63	0.63	0.21	0.41	48	2.14	0.63	0.28	0.63	2.14	0.21	1.63	8.53	10.07	2.02	12.31	0.61	0.10	0.13	2.02	2.14	8.43	2.25	13.32	0.13	0.10	6.00	2.18	0.12	0.13	0.21	0.28	0.63	2.76	0.28	2.14	2.06	15.00	10.00	0.13	0.27	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.81	4.08	7.00	68.98	0.04	-11.34	0.83	0.21	-9.27	0.95	-9.50	0.85	0.86	-9.31	-0.81	-0.21	4.46	0.06	-0.21	-0.21	-0.81	0.89	0.43	0.21	68	0.40	0.89	0.53	0.89	0.40	0.43	-0.09	0.43	5.87	0.23	-10.52	0.83	0.14	0.13	0.23	0.40	0.48	1.04	-9.40	0.16	0.21	0.50	1.00	3.13	0.16	0.23	0.41	0.89	2.82	0.53	0.40	0.90	-10.00	5.00	0.16	0.33	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.47	4.95	3.64	69.15	0.04	-4.20	0.50	0.14	-5.43	0.69	-5.31	0.98	0.67	-5.43	-0.47	-0.75	0.89	0.09	-0.75	-0.75	-0.47	0.51	0.24	0.32	55	0.77	0.51	0.52	0.51	0.77	0.24	-0.04	0.67	3.76	0.87	-4.22	0.50	0.08	0.09	0.87	0.77	0.69	1.01	-5.31	0.16	0.14	0.50	0.98	0.63	0.09	0.16	0.48	0.51	5.06	0.52	0.77	1.01	-5.00	5.00	0.16	0.32	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	1.32	1.27	14.10	69.09	1.61	-14.16	1.20	0.40	-13.63	16.27	-13.84	2.91	16.18	-13.75	1.32	0.96	0.33	0.11	0.96	0.96	1.32	1.36	0.82	0.33	30	0.96	1.36	0.22	1.36	0.96	0.82	-1.66	17.33	14.23	1.03	-14.17	1.20	0.38	0.10	1.03	0.96	17.32	1.83	-13.73	0.10	0.40	6.00	1.72	0.11	0.34	0.74	0.22	1.36	1.33	0.22	0.96	2.88	-15.00	15.00	0.10	0.70	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-2.27	6.34	-11.82	69.06	-0.09	9.73	2.32	0.30	9.60	-12.70	9.60	0.34	-12.75	9.66	-2.27	0.08	0.62	0.06	0.08	0.08	-2.27	2.27	0.56	0.09	65	0.21	2.27	0.23	2.27	0.21	0.56	0.09	-13.12	-11.94	0.19	9.69	2.32	0.30	0.08	0.19	0.21	-13.10	2.31	9.53	0.08	0.30	0.50	2.36	0.17	0.29	0.56	0.12	2.27	6.27	0.23	0.21	0.33	10.00	-10.00	0.08	0.55	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.48	9.07	0.06	69.25	0.04	-1.34	0.48	0.05	-0.98	0.69	-0.93	1.24	0.69	-0.98	-0.48	-1.07	1.65	0.07	-1.07	-1.07	-0.48	0.48	0.08	0.21	50	1.07	0.48	0.21	0.48	1.07	0.08	0.00	0.69	-0.11	1.12	-1.37	0.48	0.05	0.07	1.12	1.07	0.69	1.18	-0.93	0.07	0.05	0.50	1.24	0.90	0.07	0.08	0.21	0.48	9.11	0.21	1.07	1.18	0.00	5.00	0.07	0.21	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.00	0.66	-9.04	69.21	-1.06	9.77	0.26	0.12	8.59	-10.00	9.08	1.45	-10.06	9.05	-0.00	-0.87	0.31	0.06	-0.87	-0.87	-0.00	0.25	0.28	0.13	16	0.87	0.25	0.20	0.25	0.87	0.28	1.07	-10.72	-9.05	0.89	9.82	0.26	0.08	0.08	0.89	0.87	-10.62	0.93	8.58	0.08	0.12	6.00	0.95	0.22	0.09	0.14	0.20	0.25	0.60	0.20	0.87	1.45	10.00	-10.00	0.08	0.21	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.18	2.97	3.37	69.31	0.52	-17.19	0.24	0.14	-15.57	4.56	-15.57	0.79	4.49	-15.80	-0.18	-0.64	0.59	0.15	-0.64	-0.64	-0.18	0.28	0.31	0.37	38	0.85	0.28	0.73	0.28	0.85	0.31	-1.61	4.84	3.36	0.86	-17.20	0.24	0.12	0.19	0.86	0.85	4.74	0.92	-15.32	0.23	0.14	6.00	0.93	0.25	0.21	0.23	0.47	0.28	2.99	0.73	0.85	0.82	-15.00	5.00	0.23	0.50	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.58	11.17	-10.32	69.26	-0.04	-5.52	0.50	0.09	-0.45	-8.79	-0.28	0.96	-8.71	-0.45	-0.58	-0.42	1.25	0.15	-0.42	-0.42	-0.58	0.58	0.22	0.28	52	0.59	0.58	0.50	0.58	0.59	0.22	0.00	-8.71	-10.34	0.64	-5.53	0.50	0.09	0.17	0.64	0.59	-8.79	0.86	-0.28	0.17	0.09	0.50	0.96	0.41	0.15	0.22	0.28	0.58	11.17	0.50	0.59	0.86	0.00	-5.00	0.17	0.28	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	1.57	3.34	-11.87	69.30	-1.61	8.09	1.58	0.12	10.33	-13.34	9.13	0.97	-13.32	9.39	1.57	-0.87	0.27	0.12	-0.87	-0.87	1.57	1.57	0.24	0.24	44	0.87	1.57	0.47	1.57	0.87	0.24	1.10	-14.45	-11.89	0.60	7.98	1.58	0.12	0.11	0.60	0.87	-14.48	1.84	10.01	0.11	0.12	6.00	1.75	0.11	0.15	0.24	0.47	1.57	3.32	0.47	0.87	0.95	10.00	-15.00	0.11	0.37	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	0.09	0.92	14.37	69.17	1.61	-4.72	0.35	0.08	-5.00	15.01	-4.83	0.84	15.03	-4.91	0.09	0.13	0.18	0.12	0.13	0.13	0.09	0.35	0.39	0.69	35	0.22	0.35	0.27	0.35	0.22	0.39	-0.54	15.46	14.38	0.16	-4.77	0.35	0.08	0.07	0.16	0.22	15.55	0.44	-4.87	0.09	0.08	6.00	0.45	0.07	0.08	0.20	0.20	0.35	0.92	0.27	0.22	1.00	-5.00	15.00	0.09	0.26	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	0.11	1.94	-13.74	69.44	-1.61	-6.64	0.19	0.19	-4.15	-14.95	-4.76	0.87	-14.98	-4.77	0.11	0.20	0.34	0.15	0.20	0.20	0.11	0.25	0.32	0.27	42	0.24	0.25	0.21	0.25	0.24	0.32	-0.54	-15.43	-13.72	0.20	-6.68	0.19	0.09	0.12	0.20	0.24	-15.38	0.41	-4.11	0.15	0.19	6.00	0.45	0.22	0.13	0.22	0.17	0.25	1.83	0.21	0.24	0.92	-5.00	-15.00	0.15	0.19	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.30	1.90	0.08	69.16	0.00	13.02	0.28	0.04	12.55	-0.35	12.79	2.41	-0.32	12.74	-0.30	-2.14	0.20	0.06	-2.14	-2.14	-0.30	0.30	0.09	0.24	28	2.14	0.30	0.21	0.30	2.14	0.09	1.61	-0.64	0.06	2.20	13.05	0.28	0.04	0.06	2.20	2.14	-0.67	2.17	12.60	0.06	0.04	6.00	2.21	0.09	0.06	0.09	0.21	0.30	1.94	0.21	2.14	2.37	15.00	0.00	0.06	0.20	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.12	0.68	-9.52	69.36	-1.06	4.74	0.15	0.08	4.74	-10.22	4.71	0.36	-10.23	4.78	-0.12	-0.27	0.51	0.07	-0.27	-0.27	-0.12	0.17	0.17	0.16	22	0.28	0.17	0.25	0.17	0.28	0.17	0.53	-10.46	-9.53	0.20	4.54	0.15	0.05	0.07	0.20	0.28	-10.44	0.37	4.71	0.07	0.08	6.00	0.34	0.20	0.07	0.11	0.23	0.17	0.50	0.25	0.28	0.38	5.00	-10.00	0.07	0.20	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.19	1.46	8.98	69.30	1.06	-14.22	0.22	0.10	-15.51	9.64	-15.04	0.80	9.69	-15.13	-0.19	-0.10	0.22	0.08	-0.10	-0.10	-0.19	0.30	0.36	0.12	37	0.37	0.30	0.43	0.30	0.37	0.36	-1.63	9.97	9.00	0.36	-14.27	0.22	0.09	0.11	0.36	0.37	9.91	0.52	-15.38	0.14	0.10	6.00	0.44	0.11	0.12	0.27	0.25	0.30	1.46	0.43	0.37	0.80	-15.00	10.00	0.14	0.32	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	0.09	1.34	10.31	69.28	1.06	3.76	0.11	0.04	5.03	9.99	4.47	0.25	9.98	4.54	0.09	-0.51	0.46	0.04	-0.51	-0.51	0.09	0.13	0.13	0.13	17	0.51	0.13	0.23	0.13	0.51	0.13	0.53	9.75	10.30	0.44	3.64	0.11	0.04	0.05	0.44	0.51	9.79	0.54	5.00	0.05	0.04	6.00	0.47	0.08	0.05	0.09	0.23	0.13	1.22	0.23	0.51	0.26	5.00	10.00	0.05	0.24	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.05	1.33	-6.03	69.40	-0.52	-5.01	0.17	0.16	-4.42	-5.14	-4.72	0.69	-5.07	-4.73	-0.05	0.24	0.26	0.16	0.24	0.24	-0.05	0.24	0.31	0.39	7	0.31	0.24	0.27	0.24	0.31	0.31	-0.53	-4.89	-5.92	0.25	-5.03	0.17	0.10	0.09	0.25	0.31	-4.83	0.43	-4.52	0.15	0.16	6.00	0.36	0.10	0.10	0.20	0.18	0.24	1.39	0.27	0.31	0.67	-5.00	-5.00	0.15	0.22	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.51	1.43	-5.95	69.07	-0.52	14.52	0.57	0.07	13.70	-5.49	13.96	1.25	-5.53	14.09	-0.51	-0.97	0.15	0.06	-0.97	-0.97	-0.51	0.51	0.22	0.40	46	0.97	0.51	0.38	0.51	0.97	0.22	1.61	-5.12	-5.90	0.83	14.38	0.57	0.07	0.09	0.83	0.97	-5.06	1.17	13.50	0.09	0.07	6.00	1.09	0.08	0.07	0.22	0.38	0.51	1.42	0.38	0.97	1.46	15.00	-5.00	0.09	0.27	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.58	7.62	-5.51	69.39	0.00	-0.17	0.57	0.04	-4.68	-0.90	-4.68	0.64	-0.89	-4.68	-0.58	0.28	2.78	0.05	0.28	0.28	-0.58	0.58	0.09	0.11	2	0.28	0.58	0.12	0.58	0.28	0.09	-0.52	-0.89	-4.89	0.28	0.28	0.57	0.04	0.05	0.28	0.28	-0.90	0.65	-4.68	0.05	0.04	6.00	0.64	2.00	0.05	0.09	0.12	0.58	7.52	0.12	0.28	0.65	-5.00	0.00	0.05	0.11	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	0.04	1.53	-9.21	69.47	-1.06	-4.74	0.15	0.15	-5.31	-10.21	-5.29	0.39	-10.21	-5.29	0.04	-0.32	1.35	0.10	-0.32	-0.32	0.04	0.20	0.26	0.15	21	0.33	0.20	0.20	0.20	0.33	0.26	-0.53	-10.25	-8.44	0.33	-4.72	0.15	0.10	0.09	0.33	0.33	-10.24	0.44	-5.29	0.10	0.15	6.00	0.41	0.37	0.11	0.17	0.19	0.20	0.84	0.20	0.33	0.43	-5.00	-10.00	0.10	0.16	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.84	4.18	4.19	69.27	0.04	4.48	0.86	0.12	3.64	0.66	3.66	1.47	0.72	3.69	-0.84	-1.20	0.71	0.07	-1.20	-1.20	-0.84	0.84	0.24	0.19	54	1.20	0.84	0.27	0.84	1.20	0.24	0.04	0.50	4.47	1.17	4.47	0.86	0.12	0.12	1.17	1.20	0.48	1.50	3.61	0.12	0.12	0.50	1.49	0.22	0.07	0.24	0.27	0.84	4.45	0.27	1.20	1.46	5.00	5.00	0.12	0.15	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.55	2.27	-7.29	69.21	-0.09	-10.54	0.39	0.18	-8.24	-11.77	-8.68	1.00	-11.85	-8.64	-0.55	0.58	0.55	0.11	0.58	0.58	-0.55	0.56	0.47	0.33	64	0.59	0.56	0.38	0.56	0.59	0.47	-0.09	-12.81	-7.45	0.60	-10.31	0.39	0.17	0.15	0.60	0.59	-12.96	0.91	-8.26	0.17	0.18	0.50	0.96	0.15	0.14	0.45	0.36	0.56	2.25	0.38	0.59	1.00	-10.00	-10.00	0.17	0.48	0.66	0.65	0.65	0.66	0.66	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-1.19	6.89	-12.08	69.25	-0.09	-1.84	1.23	0.15	-0.18	-13.50	-0.29	0.82	-13.50	-0.30	-1.19	-0.42	0.23	0.05	-0.42	-0.42	-1.19	1.19	0.28	0.08	60	0.42	1.19	0.12	1.19	0.42	0.28	0.00	-13.61	-12.07	0.43	-1.97	1.23	0.15	0.08	0.43	0.42	-13.62	1.27	-0.16	0.08	0.15	0.50	1.28	0.14	0.16	0.28	0.12	1.19	6.89	0.12	0.42	0.82	0.00	-10.00	0.08	0.29	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
